Episode 373, Reward: 200.6, Epsilon: 0.153
Episode 374, Reward: 250.8, Epsilon: 0.153
Episode 375, Reward: -17.2, Epsilon: 0.152
Episode 376, Reward: 156.1, Epsilon: 0.151
Episode 377, Reward: 249.1, Epsilon: 0.150
Episode 378, Reward: 238.1, Epsilon: 0.150
Episode 379, Reward: 186.1, Epsilon: 0.149
Episode 380, Reward: 221.2, Epsilon: 0.148
Episode 381, Reward: -138.4, Epsilon: 0.147
Episode 382, Reward: 188.7, Epsilon: 0.147
Episode 383, Reward: 153.5, Epsilon: 0.146
Episode 384, Reward: 86.7, Epsilon: 0.145
Episode 385, Reward: 59.9, Epsilon: 0.144
Episode 386, Reward: 86.3, Epsilon: 0.144
Episode 387, Reward: 217.3, Epsilon: 0.143
Episode 388, Reward: 94.4, Epsilon: 0.142
Episode 389, Reward: 250.4, Epsilon: 0.142
Episode 390, Reward: 25.6, Epsilon: 0.141
Episode 391, Reward: 130.0, Epsilon: 0.140
Episode 392, Reward: 254.6, Epsilon: 0.139
Episode 393, Reward: 197.4, Epsilon: 0.139
Episode 394, Reward: 20.0, Epsilon: 0.138
Episode 395, Reward: 119.2, Epsilon: 0.137
Episode 396, Reward: 257.0, Epsilon: 0.137
Episode 397, Reward: 59.3, Epsilon: 0.136
Episode 398, Reward: 130.2, Epsilon: 0.135
Episode 399, Reward: 256.1, Epsilon: 0.135
Evaluation: 169.0
New best model saved!
Episode 400, Reward: 249.8, Epsilon: 0.134
Episode 401, Reward: 252.8, Epsilon: 0.133
Episode 402, Reward: 239.1, Epsilon: 0.133
Episode 403, Reward: 228.5, Epsilon: 0.132
Episode 404, Reward: 185.2, Epsilon: 0.131
Episode 405, Reward: 149.0, Epsilon: 0.131
Episode 406, Reward: 272.5, Epsilon: 0.130
Episode 407, Reward: 225.6, Epsilon: 0.129
Episode 408, Reward: -233.4, Epsilon: 0.129
Episode 409, Reward: 124.3, Epsilon: 0.128
Episode 410, Reward: 46.0, Epsilon: 0.127
Episode 411, Reward: 275.6, Epsilon: 0.127
Episode 412, Reward: 42.3, Epsilon: 0.126
Episode 413, Reward: 207.4, Epsilon: 0.126
Episode 414, Reward: 253.4, Epsilon: 0.125
Episode 415, Reward: 170.8, Epsilon: 0.124
Episode 416, Reward: 222.6, Epsilon: 0.124
Episode 417, Reward: 77.9, Epsilon: 0.123
Episode 418, Reward: 101.2, Epsilon: 0.122
Episode 419, Reward: 257.2, Epsilon: 0.122
Episode 420, Reward: 242.9, Epsilon: 0.121
Episode 421, Reward: 148.2, Epsilon: 0.121
Episode 422, Reward: 228.9, Epsilon: 0.120
Episode 423, Reward: -48.1, Epsilon: 0.119
Episode 424, Reward: 176.5, Epsilon: 0.119
Episode 425, Reward: 146.7, Epsilon: 0.118
Episode 426, Reward: 243.8, Epsilon: 0.118
Episode 427, Reward: 248.7, Epsilon: 0.117
Episode 428, Reward: 134.3, Epsilon: 0.116
Episode 429, Reward: 237.5, Epsilon: 0.116
Episode 430, Reward: 128.5, Epsilon: 0.115
Episode 431, Reward: 251.7, Epsilon: 0.115
Episode 432, Reward: 228.5, Epsilon: 0.114
Episode 433, Reward: 119.4, Epsilon: 0.114
Episode 434, Reward: 187.4, Epsilon: 0.113
Episode 435, Reward: 103.5, Epsilon: 0.112
Episode 436, Reward: 216.7, Epsilon: 0.112
Episode 437, Reward: 241.7, Epsilon: 0.111
Episode 438, Reward: 215.1, Epsilon: 0.111
Episode 439, Reward: 270.8, Epsilon: 0.110
Episode 440, Reward: 236.4, Epsilon: 0.110
Episode 441, Reward: 282.6, Epsilon: 0.109
Episode 442, Reward: 75.8, Epsilon: 0.109
Episode 443, Reward: 92.9, Epsilon: 0.108
Episode 444, Reward: 250.6, Epsilon: 0.107
Episode 445, Reward: 237.5, Epsilon: 0.107
Episode 446, Reward: 260.5, Epsilon: 0.106
Episode 447, Reward: 235.3, Epsilon: 0.106
Episode 448, Reward: 239.6, Epsilon: 0.105
Episode 449, Reward: 97.8, Epsilon: 0.105
Episode 450, Reward: 184.4, Epsilon: 0.104
Episode 451, Reward: 261.0, Epsilon: 0.104
Episode 452, Reward: 222.8, Epsilon: 0.103
Episode 453, Reward: 267.2, Epsilon: 0.103
Episode 454, Reward: 246.1, Epsilon: 0.102
